id,actual_amount,comment,original_amount,rating,reduce_amount,delevery_amount,promotion_id,user_addr,create_time,update_time
42,14.17,The packaging was damaged,49.61,2,35.44,8,95,204 Lien Drive,2023-07-22,2023-07-22
43,29.11,The product is a game-changer,50.81,4,21.7,11,54,7665 1st Terrace,2023-09-17,2023-09-17
44,26.25,Great quality,40.37,3,14.12,8,15,62 Crownhardt Hill,2023-08-18,2023-08-18
45,27.43,Will definitely buy again,56.32,2,28.89,9,49,35 Hollow Ridge Court,2023-04-26,2023-04-26
46,16.79,I love this product so much,56.08,5,39.29,16,92,0 Onsgard Drive,2023-04-11,2023-04-11
47,10.71,The product is not durable,58.63,4,47.92,16,75,200 Dapin Hill,2023-03-12,2023-03-12
48,24.74,The product is a conversation-starter,46.88,2,22.14,10,58,1 Trailsway Place,2023-10-30,2023-10-30
49,28.33,Will definitely buy again,36.38,3,8.05,14,84,09344 Ramsey Alley,2023-05-03,2023-05-03
50,12.6,The product is a time-saver,34.18,3,21.58,15,44,02 Gina Court,2023-06-20,2023-06-20
51,25.12,The product is exactly as described,49.69,3,24.57,11,32,424 Burrows Point,2023-09-10,2023-09-10
52,27.35,Not what I expected,55.7,5,28.35,8,4,8 Crowley Way,2023-04-28,2023-04-28
53,16.47,The product is a space-saver,55.98,1,39.51,15,12,65354 Doe Crossing Crossing,2023-08-05,2023-08-05
54,24.39,Great quality,39.0,5,14.61,16,100,8453 Shopko Place,2023-06-28,2023-06-28
55,20.17,Very disappointed with this purchase,52.71,1,32.54,11,30,79842 Pennsylvania Place,2023-07-01,2023-07-01
56,28.23,Not worth the money,31.76,1,3.53,10,68,73 Havey Junction,2023-06-08,2023-06-08
57,12.16,The product is a crowd-pleaser,32.15,5,19.99,13,45,36 Helena Trail,2023-03-12,2023-03-12
58,29.33,The product is a head-turner,34.98,4,5.65,8,51,8 Anhalt Place,2023-04-09,2023-04-09
59,11.14,great service,50.19,4,39.05,11,6,08 Warbler Junction,2023-06-27,2023-06-27
60,21.38,The material is very soft and comfortable,34.01,5,12.63,9,22,4054 Bartillon Hill,2023-05-04,2023-05-04
61,19.35,Would buy from this seller again,54.19,4,34.84,15,63,02 Butternut Hill,2023-04-04,2023-04-04
62,17.74,I love this product so much,56.71,2,38.97,14,91,9 Menomonie Avenue,2023-10-02,2023-10-02
63,17.21,The product is a great gift idea,42.12,4,24.91,15,25,029 Linden Park,2023-12-09,2023-12-09
64,22.67,The product is a show-stopper,45.13,5,22.46,10,97,5617 International Court,2023-06-14,2023-06-14
65,26.95,Would recommend to friends and family,57.36,1,30.41,13,94,5116 Glendale Parkway,2023-02-04,2023-02-04
66,10.34,Product arrived earlier than expected,31.11,5,20.77,13,76,1 Kenwood Way,2023-04-27,2023-04-27
67,24.32,The price is too high for the quality,39.37,2,15.05,10,100,654 Hintze Alley,2023-03-14,2023-03-14
68,19.05,Very happy with my purchase,32.34,5,13.29,12,91,9 Westerfield Way,2023-03-28,2023-03-28
69,12.81,The product is stylish and trendy,38.82,1,26.01,11,26,41 Blue Bill Park Crossing,2023-04-24,2023-04-24
70,13.13,The product is a space-saver,34.31,2,21.18,14,72,53 Oakridge Terrace,2023-02-09,2023-02-09
71,21.06,The product is a stress-reliever,57.06,3,36.0,14,7,1209 Caliangt Road,2023-01-13,2023-01-13
72,20.37,Very happy with my purchase,34.84,2,14.47,15,80,5048 Acker Hill,2023-07-24,2023-07-24
73,13.01,great service,38.53,3,25.52,16,81,73 Parkside Drive,2023-01-11,2023-01-11
74,27.84,great service,56.91,3,29.07,13,70,57715 Summer Ridge Plaza,2023-05-22,2023-05-22
75,22.45,The product is versatile and can be used in many ways,45.82,3,23.37,13,22,322 Truax Alley,2023-02-03,2023-02-03
76,11.62,Highly recommend this product,31.86,4,20.24,13,61,6 Autumn Leaf Way,2023-07-26,2023-07-26
77,23.77,Highly recommend this product,32.08,5,8.31,9,98,64390 Hermina Point,2023-06-01,2023-06-01
78,20.78,order a size up,46.09,5,25.31,10,9,218 Dapin Junction,2023-05-24,2023-05-24
79,10.52,The product is easy to use,48.34,3,37.82,13,5,085 Steensland Pass,2023-09-03,2023-09-03
80,19.24,The product is a mood-booster,47.33,2,28.09,9,84,0708 Waxwing Drive,2023-06-07,2023-06-07
81,16.32,Fast shipping,43.39,3,27.07,16,60,505 Old Shore Hill,2023-06-27,2023-06-27
82,13.86,The product is a mood-booster,49.81,2,35.95,10,23,439 Everett Hill,2023-07-11,2023-07-11
83,20.41,The product is a great value for the price,40.37,3,19.96,12,18,64 Longview Road,2023-12-26,2023-12-26
84,24.1,The product is versatile and can be used in many ways,44.14,2,20.04,13,56,1 Rockefeller Plaza,2023-12-24,2023-12-24
85,24.45,The product is a show-stopper,41.98,2,17.53,13,86,41 Barby Point,2023-03-03,2023-03-03
86,13.38,The product is not durable,58.08,1,44.7,8,8,0255 Dennis Pass,2023-08-30,2023-08-30
87,17.75,Great quality,33.32,1,15.57,14,1,41841 Dunning Junction,2023-05-09,2023-05-09
88,28.12,Very disappointed with this purchase,46.62,1,18.5,16,52,02064 Park Meadow Pass,2023-12-04,2023-12-04
89,14.09,order a size up,52.83,2,38.74,8,82,08 Blaine Street,2023-09-21,2023-09-21
90,22.03,The size runs small,49.63,2,27.6,9,43,63702 Vahlen Terrace,2023-02-06,2023-02-06
91,17.28,I love this product so much,41.08,3,23.8,11,89,79817 Comanche Park,2023-06-23,2023-06-23
92,10.62,Would recommend to friends and family,51.13,2,40.51,12,42,3813 Division Center,2023-01-27,2023-01-27
93,27.36,The product is a game-changer,51.93,1,24.57,14,88,18 Cottonwood Point,2023-10-19,2023-10-19
94,26.79,This product is amazing!,30.79,1,4.0,10,83,7 Fairfield Pass,2023-10-08,2023-10-08
95,29.01,Very happy with my purchase,40.17,5,11.16,8,28,9 Kipling Terrace,2023-11-10,2023-11-10
96,12.09,The product is not durable,31.06,5,18.97,8,49,8171 Corscot Drive,2023-04-03,2023-04-03
97,12.45,Very satisfied with my purchase,41.58,5,29.13,14,25,27 Evergreen Circle,2023-10-16,2023-10-16
98,14.14,The product is easy to use,49.39,2,35.25,13,10,16925 Sunnyside Plaza,2023-09-12,2023-09-12
99,22.85,Very happy with my purchase,41.97,1,19.12,13,96,7995 Hanson Drive,2023-04-29,2023-04-29
100,28.98,The product is exactly as described,42.26,2,13.28,11,67,925 Kim Terrace,2023-01-07,2023-01-07
101,24.84,The product is versatile and can be used in many ways,54.39,4,29.55,12,81,8 Basil Point,2023-11-26,2023-11-26
102,12.77,Great quality,31.19,3,18.42,10,45,29154 School Lane,2023-11-01,2023-11-01
103,25.37,The product is a game-changer,58.03,4,32.66,12,47,32850 Monica Park,2023-03-27,2023-03-27
104,19.77,The price is too high for the quality,42.9,5,23.13,12,46,7763 Meadow Vale Place,2023-10-09,2023-10-09
105,23.01,The product is stylish and trendy,51.18,4,28.17,9,88,65777 Hudson Plaza,2023-02-10,2023-02-10
106,16.98,The product is a crowd-pleaser,39.33,2,22.35,9,29,7 Brown Court,2023-01-21,2023-01-21
107,26.8,The product is a game-changer,38.09,1,11.29,14,98,6 Lerdahl Street,2023-07-29,2023-07-29
108,26.93,The product is a lifesaver,33.05,1,6.12,8,42,43 Portage Center,2023-03-28,2023-03-28
109,24.37,The product exceeded my expectations,59.28,2,34.91,10,97,8591 Westend Street,2023-02-13,2023-02-13
110,26.59,Will definitely buy again,36.89,4,10.3,10,13,86 Manufacturers Road,2023-08-19,2023-08-19
111,26.39,The color is not as shown in the picture,37.87,2,11.48,9,54,23 Farwell Park,2023-11-05,2023-11-05
112,16.45,Not what I expected,44.49,3,28.04,12,33,23773 South Alley,2023-05-29,2023-05-29
113,16.4,Product arrived earlier than expected,42.72,2,26.32,13,4,44 Wayridge Junction,2023-11-19,2023-11-19
114,20.04,The product is versatile and can be used in many ways,57.28,3,37.24,10,5,59 Loeprich Plaza,2023-12-30,2023-12-30
115,18.21,The product is stylish and trendy,40.59,3,22.38,10,56,389 Meadow Valley Parkway,2023-12-10,2023-12-10
116,18.66,The product is a time-saver,42.51,3,23.85,13,62,29 Merry Center,2023-07-24,2023-07-24
117,22.13,Fast shipping,50.05,4,27.92,11,31,296 Loftsgordon Point,2023-10-15,2023-10-15
118,20.18,order a size up,57.73,1,37.55,15,21,693 Reindahl Crossing,2023-02-24,2023-02-24
119,11.52,Would buy from this seller again,35.55,2,24.03,10,82,35832 Almo Place,2023-08-12,2023-08-12
120,28.34,The product exceeded my expectations,45.73,3,17.39,15,85,59 Schiller Plaza,2023-05-10,2023-05-10
121,16.27,The product is a game-changer,52.43,5,36.16,8,87,9201 Melrose Crossing,2023-05-28,2023-05-28
122,11.49,The size runs small,42.82,3,31.33,13,91,98529 Hovde Street,2023-06-06,2023-06-06
123,27.23,The product is a game-changer,49.61,1,22.38,13,19,6 Meadow Ridge Court,2023-01-22,2023-01-22
124,13.33,The product is a money-saver,40.44,5,27.11,13,23,655 Haas Street,2023-06-15,2023-06-15
125,13.09,The product is a space-saver,48.04,2,34.95,10,33,5512 Elka Street,2023-11-21,2023-11-21
126,12.18,The product broke after a few uses,46.43,4,34.25,11,16,535 Pearson Junction,2023-01-21,2023-01-21
127,25.07,The product is a party-starter,34.93,3,9.86,14,49,6026 Esch Junction,2023-08-15,2023-08-15
128,20.18,The product is a lifesaver,48.78,2,28.6,15,52,1905 Cambridge Center,2023-03-08,2023-03-08
129,21.69,The product is perfect for my needs,31.9,2,10.21,11,62,6 Melrose Point,2023-04-19,2023-04-19
130,19.97,The product is a mood-booster,48.18,3,28.21,15,5,44 6th Plaza,2023-03-15,2023-03-15
131,20.37,The product is perfect for my needs,38.12,2,17.75,10,29,5 Annamark Lane,2023-09-14,2023-09-14
132,20.86,The product is lightweight and easy to carry,39.01,1,18.15,12,94,291 Fieldstone Plaza,2023-04-22,2023-04-22
133,24.06,The product is exactly as described,47.67,5,23.61,9,51,32942 Red Cloud Place,2023-03-10,2023-03-10
134,24.16,The color is not as shown in the picture,32.59,5,8.43,12,83,3572 Clove Terrace,2023-06-14,2023-06-14
135,11.59,The product exceeded my expectations,44.99,5,33.4,9,45,644 Gulseth Avenue,2023-04-15,2023-04-15
136,21.19,The product is difficult to assemble,35.63,4,14.44,8,69,54 Hayes Alley,2023-05-21,2023-05-21
137,22.74,The product is a space-saver,38.54,4,15.8,13,24,23993 Northfield Point,2023-08-02,2023-08-02
138,13.0,Highly recommend this product,52.16,4,39.16,8,27,4920 Oneill Crossing,2023-11-12,2023-11-12
139,11.13,Highly recommend this product,52.22,3,41.09,15,82,855 Bowman Center,2023-03-25,2023-03-25
140,22.38,Very happy with my purchase,55.2,1,32.82,14,4,4227 Novick Junction,2023-08-02,2023-08-02
141,26.31,Product arrived earlier than expected,33.79,4,7.48,14,54,901 Iowa Alley,2023-03-27,2023-03-27
142,22.19,The product is versatile and can be used in many ways,55.34,2,33.15,12,44,77013 Longview Crossing,2023-12-18,2023-12-18
143,13.57,Excellent customer service,50.58,5,37.01,11,23,08 Redwing Lane,2023-12-22,2023-12-22
144,17.53,The product is a conversation-starter,51.65,4,34.12,8,2,74 Brown Plaza,2023-03-08,2023-03-08
145,11.84,The product is perfect for my needs,32.48,2,20.64,9,28,212 Eastwood Road,2023-04-08,2023-04-08
146,25.4,The color is not as shown in the picture,44.15,5,18.75,11,43,9 Glacier Hill Court,2023-07-29,2023-07-29
147,21.92,Very satisfied with my purchase,50.44,1,28.52,8,18,9 Packers Avenue,2023-02-16,2023-02-16
148,21.82,The packaging was damaged,36.47,5,14.65,11,59,05 Namekagon Circle,2023-05-26,2023-05-26
149,17.34,Fast shipping,52.2,4,34.86,8,66,331 Dixon Alley,2023-06-17,2023-06-17
150,21.1,The product is a crowd-pleaser,38.06,4,16.96,13,56,175 Clarendon Trail,2023-05-17,2023-05-17
151,24.62,The size runs small,30.37,3,5.75,13,73,988 Carioca Way,2023-10-29,2023-10-29
152,21.59,The product is a must-have for every home,58.04,2,36.45,14,78,81171 Arrowood Parkway,2023-02-19,2023-02-19
153,29.09,The product is a time-saver,43.05,3,13.96,13,64,223 Dakota Pass,2023-09-01,2023-09-01
154,28.98,The size runs small,51.83,3,22.85,11,88,272 Mosinee Parkway,2023-09-27,2023-09-27
155,19.55,The product is a game-changer,41.13,3,21.58,9,13,11432 Laurel Crossing,2023-04-29,2023-04-29
156,23.68,Would recommend to friends and family,41.12,5,17.44,10,91,07 Sherman Crossing,2023-02-14,2023-02-14
157,11.08,The product is exactly as described,34.88,4,23.8,9,79,2183 Rockefeller Avenue,2023-06-08,2023-06-08
158,10.24,The product is a show-stopper,38.08,4,27.84,14,10,3387 Grover Way,2023-06-09,2023-06-09
159,20.89,great service,38.83,2,17.94,11,62,273 Maple Street,2023-09-10,2023-09-10
160,27.81,The color is not as shown in the picture,31.25,5,3.44,16,70,1402 Oxford Avenue,2023-07-21,2023-07-21
161,20.3,The product is a time-saver,37.99,3,17.69,11,34,60 Carpenter Place,2023-11-20,2023-11-20
162,12.21,The product is a game-changer,48.88,3,36.67,12,8,2 Blackbird Drive,2023-10-11,2023-10-11
163,19.17,The product is a money-saver,40.62,3,21.45,14,48,47 Randy Junction,2023-06-12,2023-06-12
164,13.41,The material is very soft and comfortable,56.0,4,42.59,10,17,2467 Mendota Lane,2023-06-28,2023-06-28
165,19.7,I love this product so much,35.13,2,15.43,9,58,1142 Graedel Hill,2023-10-02,2023-10-02
166,20.1,Fast shipping,58.95,1,38.85,14,66,063 Eggendart Drive,2023-11-15,2023-11-15
167,17.22,The product is stylish and trendy,56.12,5,38.9,8,56,607 Shasta Road,2023-05-02,2023-05-02
168,22.96,The product is a confidence-booster,41.61,3,18.65,13,60,506 Mendota Center,2023-02-14,2023-02-14
169,15.78,The product is perfect for my needs,46.48,2,30.7,14,41,451 Amoth Drive,2023-02-06,2023-02-06
170,11.1,The product broke after a few uses,30.41,1,19.31,10,24,84 Pleasure Lane,2023-04-04,2023-04-04
171,21.2,Would buy from this seller again,55.08,4,33.88,10,26,72508 Lindbergh Court,2023-12-02,2023-12-02
172,21.78,The product exceeded my expectations,49.34,3,27.56,8,19,5262 Garrison Pass,2023-08-16,2023-08-16
173,20.58,The product is a lifesaver,39.08,3,18.5,13,44,9913 American Junction,2023-06-22,2023-06-22
174,11.07,The product is versatile and can be used in many ways,59.1,5,48.03,8,13,75 Annamark Center,2023-07-03,2023-07-03
175,10.84,The product is perfect for my needs,57.27,1,46.43,14,11,5 Jenifer Hill,2023-01-13,2023-01-13
176,23.04,Great quality,41.79,1,18.75,11,5,98 Fordem Drive,2023-09-21,2023-09-21
177,18.72,The material is very soft and comfortable,59.74,5,41.02,12,30,119 Northview Terrace,2023-08-22,2023-08-22
178,13.06,The product is a conversation-starter,55.03,1,41.97,8,28,15550 Del Mar Parkway,2023-07-15,2023-07-15
179,23.47,order a size up,58.47,5,35.0,15,95,179 Talisman Court,2023-07-05,2023-07-05
180,16.34,The product is a game-changer,46.71,3,30.37,9,74,830 Pankratz Road,2023-08-31,2023-08-31
181,18.93,The size runs small,41.04,1,22.11,14,63,146 Thackeray Street,2023-03-18,2023-03-18
182,20.59,The product is a must-have for every home,50.12,3,29.53,13,96,81 Kenwood Junction,2023-06-12,2023-06-12
183,20.95,The product is a crowd-pleaser,33.25,3,12.3,14,55,0 Charing Cross Way,2023-04-12,2023-04-12
184,20.99,The product is a time-saver,58.4,3,37.41,15,37,30765 Talisman Parkway,2023-07-16,2023-07-16
185,22.86,The product is a lifesaver,30.92,3,8.06,16,87,450 Marquette Lane,2023-05-10,2023-05-10
186,14.42,The product broke after a few uses,43.48,2,29.06,11,92,828 Moland Hill,2023-03-17,2023-03-17
187,23.37,Very happy with my purchase,47.77,2,24.4,8,33,3 Moland Hill,2023-04-23,2023-04-23
188,17.13,Highly recommend this product,36.67,3,19.54,10,71,2871 Mosinee Pass,2023-10-05,2023-10-05
189,17.87,Not worth the money,41.53,4,23.66,9,40,718 High Crossing Avenue,2023-05-18,2023-05-18
190,28.82,The product is easy to use,30.92,3,2.1,9,56,4955 Paget Street,2023-12-06,2023-12-06
191,14.16,The product is easy to use,36.81,4,22.65,16,89,73336 Clemons Point,2023-09-27,2023-09-27
192,26.01,Very disappointed with this purchase,52.37,5,26.36,8,46,46 2nd Avenue,2023-04-13,2023-04-13
193,27.02,The product is perfect for my needs,52.03,1,25.01,14,63,70 Fairview Terrace,2023-11-26,2023-11-26
194,17.11,Fast shipping,45.79,4,28.68,9,5,73209 Surrey Center,2023-06-26,2023-06-26
195,16.25,Would buy from this seller again,52.74,3,36.49,16,75,43764 Warrior Point,2023-09-20,2023-09-20
196,26.53,The packaging was damaged,44.26,3,17.73,9,37,32673 Anniversary Lane,2023-06-28,2023-06-28
197,14.78,The product is a time-saver,57.17,3,42.39,9,50,1 Fordem Center,2023-09-09,2023-09-09
198,11.02,Would buy from this seller again,56.9,5,45.88,16,20,952 Raven Circle,2023-02-11,2023-02-11
199,15.62,Fast shipping,51.98,3,36.36,12,34,218 Canary Circle,2023-04-23,2023-04-23
200,10.65,The product is a space-saver,43.66,4,33.01,15,66,65181 Birchwood Crossing,2023-09-25,2023-09-25
201,13.94,Not what I expected,55.59,1,41.65,10,93,11235 Elka Pass,2023-07-18,2023-07-18
202,13.28,Fast shipping,44.75,3,31.47,15,79,5712 Johnson Parkway,2023-11-09,2023-11-09
203,24.28,The product is a money-saver,56.19,1,31.91,13,15,78 Hanover Alley,2023-10-23,2023-10-23
204,22.23,The size runs small,52.06,1,29.83,13,100,5 Farmco Junction,2023-11-27,2023-11-27
205,23.93,Highly recommend this product,47.21,2,23.28,10,6,25 Morningstar Road,2023-08-26,2023-08-26
206,12.7,This product is amazing!,38.6,1,25.9,14,38,410 Bluejay Hill,2023-01-03,2023-01-03
207,11.9,I love this product so much,44.71,5,32.81,11,18,20379 Waywood Street,2023-06-07,2023-06-07
208,28.44,The price is too high for the quality,46.21,2,17.77,13,12,3779 Debra Way,2023-11-05,2023-11-05
209,16.68,This product is amazing!,52.96,2,36.28,9,17,756 Transport Park,2023-04-21,2023-04-21
210,27.09,The product is a stress-reliever,40.98,2,13.89,11,55,086 Charing Cross Hill,2023-11-23,2023-11-23
211,13.01,Not what I expected,57.7,1,44.69,9,74,3337 Holmberg Parkway,2023-12-14,2023-12-14
212,26.36,The product is a stress-reliever,42.99,2,16.63,10,60,21340 Daystar Road,2023-10-26,2023-10-26
213,12.47,The product is not durable,33.74,1,21.27,13,1,88 Corry Crossing,2023-09-23,2023-09-23
214,16.73,The product is versatile and can be used in many ways,40.58,5,23.85,10,14,43 Bunker Hill Alley,2023-08-04,2023-08-04
215,11.97,The material is very soft and comfortable,32.0,1,20.03,12,96,47724 Gerald Place,2023-04-08,2023-04-08
216,21.41,I love this product so much,37.59,4,16.18,16,87,434 Talmadge Park,2023-07-17,2023-07-17
217,13.9,order a size up,34.54,2,20.64,14,58,30024 Russell Way,2023-01-04,2023-01-04
218,29.72,Very satisfied with my purchase,55.49,2,25.77,16,76,2 Kinsman Drive,2023-02-02,2023-02-02
219,18.52,The product is difficult to assemble,48.23,1,29.71,9,1,6 Kinsman Trail,2023-05-28,2023-05-28
220,12.13,The product is a time-saver,40.55,2,28.42,10,94,9434 Express Street,2023-06-05,2023-06-05
221,21.17,The product is a game-changer,43.2,2,22.03,11,21,67192 Macpherson Hill,2023-06-27,2023-06-27
222,28.25,The product is difficult to assemble,55.17,3,26.92,11,81,2484 Spenser Drive,2023-10-30,2023-10-30
223,29.09,The product is not durable,34.0,1,4.91,13,72,51 Steensland Trail,2023-09-19,2023-09-19
224,15.54,order a size up,44.67,2,29.13,13,31,19 Golden Leaf Hill,2023-01-23,2023-01-23
225,12.68,Would buy from this seller again,50.48,4,37.8,11,39,7067 Cherokee Crossing,2023-04-04,2023-04-04
226,26.45,Product arrived earlier than expected,58.22,4,31.77,11,78,18406 Blackbird Point,2023-04-27,2023-04-27
227,25.87,The product is a stress-reliever,34.0,3,8.13,11,9,44 Oriole Hill,2023-10-06,2023-10-06
228,24.16,Fast shipping,35.21,2,11.05,12,45,308 Warner Point,2023-02-02,2023-02-02
229,28.45,Product arrived earlier than expected,47.27,3,18.82,14,88,8713 Commercial Court,2023-10-08,2023-10-08
230,29.72,I love this product so much,41.44,2,11.72,14,11,79078 Browning Avenue,2023-04-22,2023-04-22
231,12.76,order a size up,56.61,1,43.85,9,56,64608 Cordelia Terrace,2023-03-07,2023-03-07
232,20.02,The product is easy to use,52.4,4,32.38,14,42,2226 Shelley Street,2023-08-08,2023-08-08
233,22.45,The product is easy to use,46.18,4,23.73,10,19,72819 Harbort Hill,2023-07-30,2023-07-30
234,28.62,The product is easy to use,34.29,3,5.67,14,96,58611 Sheridan Plaza,2023-07-24,2023-07-24
235,16.73,The product is a lifesaver,49.31,3,32.58,12,5,4605 Meadow Ridge Pass,2023-04-28,2023-04-28
236,12.85,The product is a show-stopper,53.44,1,40.59,9,53,01 Carberry Place,2023-12-29,2023-12-29
237,24.43,The product exceeded my expectations,38.65,4,14.22,10,50,43117 Buell Lane,2023-05-07,2023-05-07
238,15.38,Will definitely buy again,50.09,4,34.71,13,12,27118 Dexter Junction,2023-11-19,2023-11-19
239,16.09,The product is perfect for my needs,43.54,4,27.45,14,36,0 Michigan Place,2023-08-30,2023-08-30
240,28.54,The product is stylish and trendy,33.79,3,5.25,14,27,10970 Continental Park,2023-10-14,2023-10-14
241,29.83,The product is a show-stopper,41.73,5,11.9,13,25,82168 Kipling Way,2023-10-07,2023-10-07
242,16.05,The product is a money-saver,55.65,4,39.6,9,70,788 Ludington Lane,2023-06-11,2023-06-11
243,26.29,The product is a space-saver,39.61,1,13.32,10,7,864 Becker Circle,2023-11-16,2023-11-16
244,20.39,Would recommend to friends and family,33.91,4,13.52,13,75,06097 Corben Drive,2023-10-26,2023-10-26
245,15.25,The product is a great gift idea,51.43,2,36.18,9,29,81 Mayfield Circle,2023-09-22,2023-09-22
246,28.01,Very disappointed with this purchase,30.24,2,2.23,13,20,8 Garrison Drive,2023-01-17,2023-01-17
247,17.74,The product is a confidence-booster,38.67,5,20.93,15,69,0 Tomscot Junction,2023-08-31,2023-08-31
248,27.71,The product is a crowd-pleaser,47.9,2,20.19,10,90,533 Jenifer Circle,2023-08-14,2023-08-14
249,19.06,Would recommend to friends and family,48.73,5,29.67,16,10,98 1st Circle,2023-05-07,2023-05-07
250,17.92,Will definitely buy again,45.43,5,27.51,13,69,60092 Dexter Road,2023-02-04,2023-02-04
251,15.86,The product broke after a few uses,42.63,1,26.77,10,84,0209 Daystar Point,2023-07-21,2023-07-21
252,25.16,The product is a head-turner,35.12,5,9.96,14,22,9235 3rd Plaza,2023-02-21,2023-02-21
253,12.84,The product is exactly as described,49.7,2,36.86,10,70,350 Drewry Park,2023-01-26,2023-01-26
254,21.9,The product is a mood-booster,50.53,2,28.63,13,7,244 Grim Circle,2023-06-08,2023-06-08
255,20.01,The product broke after a few uses,37.63,1,17.62,12,45,0897 Blackbird Avenue,2023-02-15,2023-02-15
256,12.54,Would buy from this seller again,43.15,4,30.61,9,6,2 Pine View Junction,2023-05-11,2023-05-11
257,19.47,The color is not as shown in the picture,35.65,5,16.18,8,46,52637 Leroy Pass,2023-10-23,2023-10-23
