id,actual_amount,comment,original_amount,rating,reduce_amount,delevery_amount,promotion_id,user_addr,create_time,update_time
72,16.55,order a size up,47.02,1,30.47,11,78,52 Dorton Pass,2023-02-19,2023-02-19
73,10.82,The product is exactly as described,33.85,4,23.03,14,83,59 Shasta Trail,2023-04-19,2023-04-19
74,29.64,The product exceeded my expectations,37.9,1,8.26,12,14,685 Cambridge Plaza,2023-06-11,2023-06-11
75,23.47,The product is a time-saver,51.24,4,27.77,12,70,6099 Longview Plaza,2023-04-08,2023-04-08
76,26.22,Great quality,40.97,3,14.75,11,48,27 Hollow Ridge Alley,2023-12-27,2023-12-27
77,24.29,The product is difficult to assemble,36.97,5,12.68,12,9,1730 Linden Street,2023-10-12,2023-10-12
78,26.83,The product is stylish and trendy,47.47,5,20.64,16,96,37 Carpenter Center,2023-06-10,2023-06-10
79,20.84,The product is perfect for my needs,31.38,5,10.54,14,61,74 Union Crossing,2023-04-19,2023-04-19
80,16.32,The product is a great value for the price,34.08,2,17.76,8,87,57277 La Follette Hill,2023-11-12,2023-11-12
81,22.79,The product is a space-saver,47.87,2,25.08,8,39,9111 Lakeland Plaza,2023-09-30,2023-09-30
82,17.76,The product is a conversation-starter,41.58,2,23.82,15,47,29 5th Park,2023-12-23,2023-12-23
83,10.05,The product is a lifesaver,39.38,1,29.33,16,36,5521 Lakewood Gardens Trail,2023-11-26,2023-11-26
84,25.88,The product is a time-saver,33.85,1,7.97,11,79,19425 Longview Center,2023-11-07,2023-11-07
85,22.42,The product is a confidence-booster,30.41,3,7.99,11,20,07 Westport Drive,2023-02-23,2023-02-23
86,17.41,The color is not as shown in the picture,55.34,2,37.93,10,72,0 West Lane,2023-08-24,2023-08-24
87,24.72,The product is a head-turner,46.82,4,22.1,9,44,5528 Caliangt Drive,2023-01-08,2023-01-08
88,28.36,The product is stylish and trendy,40.89,1,12.53,13,77,532 Manufacturers Way,2023-03-14,2023-03-14
89,10.79,Not worth the money,52.39,5,41.6,14,12,0302 Spenser Junction,2023-06-17,2023-06-17
90,22.11,The product is a lifesaver,46.68,5,24.57,15,99,63237 Warner Circle,2023-05-30,2023-05-30
91,12.52,The product is a money-saver,51.27,4,38.75,16,2,9548 Hollow Ridge Hill,2023-06-08,2023-06-08
92,25.5,The product is a conversation-starter,43.92,4,18.42,9,98,4 5th Plaza,2023-10-23,2023-10-23
93,16.87,The product is a mood-booster,32.34,2,15.47,14,32,889 Hintze Plaza,2023-01-01,2023-01-01
94,17.33,The product is a money-saver,55.0,4,37.67,8,98,92 Glacier Hill Street,2023-12-19,2023-12-19
95,21.35,The product is lightweight and easy to carry,47.3,2,25.95,8,50,3 Mallard Crossing,2023-11-01,2023-11-01
96,13.29,order a size up,33.99,4,20.7,9,16,9 Oneill Court,2023-05-10,2023-05-10
97,17.04,The product is difficult to assemble,35.22,3,18.18,13,3,485 Golden Leaf Lane,2023-12-26,2023-12-26
98,20.12,The product is a head-turner,31.58,4,11.46,13,1,8 Morning Park,2023-09-10,2023-09-10
99,16.38,This product is amazing!,40.14,5,23.76,13,25,148 Spaight Way,2023-02-09,2023-02-09
100,19.83,great service,50.13,3,30.3,16,46,79 Fallview Pass,2023-08-28,2023-08-28
101,15.64,The product is a conversation-starter,44.91,2,29.27,13,96,87338 Sherman Lane,2023-04-18,2023-04-18
102,13.57,Very disappointed with this purchase,36.03,1,22.46,16,76,023 Knutson Junction,2023-03-22,2023-03-22
103,14.28,The product is a money-saver,52.25,3,37.97,10,17,65969 Fordem Court,2023-10-16,2023-10-16
104,16.2,The price is too high for the quality,58.94,5,42.74,13,10,1032 Spohn Avenue,2023-03-25,2023-03-25
105,26.15,Fast shipping,33.57,4,7.42,13,8,1179 Eastlawn Pass,2023-04-28,2023-04-28
106,18.69,Not worth the money,52.52,3,33.83,12,27,5070 Hoffman Center,2023-02-15,2023-02-15
107,10.15,The product is easy to use,47.32,1,37.17,13,91,9 Pleasure Avenue,2023-02-08,2023-02-08
108,27.91,The price is too high for the quality,50.52,3,22.61,9,63,91 Gale Avenue,2023-01-14,2023-01-14
109,18.89,The product is difficult to assemble,34.88,1,15.99,16,12,36 Donald Street,2023-01-23,2023-01-23
110,23.36,The product is a game-changer,32.81,5,9.45,8,34,5623 Commercial Parkway,2023-12-12,2023-12-12
111,18.75,This product is amazing!,33.47,2,14.72,14,57,9 Riverside Center,2023-01-13,2023-01-13
112,15.56,The product exceeded my expectations,52.13,4,36.57,11,90,40836 Shelley Road,2023-05-06,2023-05-06
113,11.38,Great quality,58.12,5,46.74,13,31,23422 Reinke Avenue,2023-04-05,2023-04-05
114,28.31,The material is very soft and comfortable,52.49,3,24.18,12,88,32358 Tomscot Place,2023-05-22,2023-05-22
115,21.02,The size runs small,31.75,3,10.73,8,15,2 Cherokee Way,2023-07-12,2023-07-12
116,15.14,The product is difficult to assemble,40.31,3,25.17,11,22,2928 Morning Trail,2023-03-14,2023-03-14
117,26.63,The product is stylish and trendy,30.37,1,3.74,15,37,985 Morningstar Drive,2023-06-16,2023-06-16
118,15.42,The product is a conversation-starter,48.3,3,32.88,13,2,5748 Ridgeview Avenue,2023-01-20,2023-01-20
119,10.91,Would recommend to friends and family,43.92,3,33.01,15,87,104 Londonderry Road,2023-12-07,2023-12-07
120,13.14,The product is exactly as described,58.77,3,45.63,12,99,81924 Sutherland Terrace,2023-07-30,2023-07-30
121,26.73,Great quality,44.51,3,17.78,8,20,00793 Mariners Cove Trail,2023-10-23,2023-10-23
122,18.17,The product is a space-saver,41.81,1,23.64,13,39,7 Bobwhite Way,2023-08-06,2023-08-06
123,17.06,The product is a time-saver,40.58,3,23.52,12,84,35661 Ohio Parkway,2023-02-28,2023-02-28
124,27.39,The product is lightweight and easy to carry,40.44,1,13.05,8,45,6898 Mallory Terrace,2023-10-16,2023-10-16
125,12.47,Would buy from this seller again,38.08,2,25.61,15,93,5 Straubel Lane,2023-10-27,2023-10-27
126,14.26,The product is a lifesaver,48.59,1,34.33,14,91,66937 Gina Lane,2023-10-29,2023-10-29
127,19.29,The price is too high for the quality,46.04,3,26.75,15,87,1785 Haas Way,2023-10-24,2023-10-24
128,12.75,Very satisfied with my purchase,40.45,2,27.7,15,95,32 Ridgeview Lane,2023-09-06,2023-09-06
129,25.0,Not what I expected,50.01,2,25.01,8,61,8311 8th Hill,2023-12-28,2023-12-28
130,27.75,Product arrived earlier than expected,37.76,2,10.01,11,82,9 Heffernan Point,2023-07-01,2023-07-01
131,14.9,The product is versatile and can be used in many ways,52.61,2,37.71,12,73,2 Crest Line Pass,2023-12-17,2023-12-17
132,27.72,The packaging was damaged,52.49,3,24.77,10,67,391 Sheridan Street,2023-03-20,2023-03-20
133,11.93,The product is a lifesaver,59.32,2,47.39,9,6,80 Continental Drive,2023-12-06,2023-12-06
134,17.64,The product is a game-changer,51.42,2,33.78,12,69,1743 Lighthouse Bay Circle,2023-11-29,2023-11-29
135,26.8,The product exceeded my expectations,48.23,5,21.43,10,32,47251 Logan Parkway,2023-02-17,2023-02-17
136,11.59,Fast shipping,53.87,4,42.28,13,51,4029 Myrtle Trail,2023-09-04,2023-09-04
137,29.81,The product is difficult to assemble,54.04,3,24.23,16,16,3 Pawling Hill,2023-10-01,2023-10-01
138,28.24,The size runs small,51.17,2,22.93,15,59,86 Glacier Hill Road,2023-09-24,2023-09-24
139,21.51,The product is a money-saver,35.16,4,13.65,9,97,99033 Vermont Park,2023-09-05,2023-09-05
140,19.87,order a size up,51.22,4,31.35,10,27,645 Commercial Alley,2023-04-27,2023-04-27
141,16.21,The product is a party-starter,50.22,2,34.01,13,89,41789 Acker Point,2023-08-22,2023-08-22
142,16.96,The product is a great value for the price,59.91,5,42.95,10,38,1 Boyd Drive,2023-04-07,2023-04-07
143,12.7,Will definitely buy again,33.25,5,20.55,13,68,97032 Hayes Point,2023-08-02,2023-08-02
144,21.17,The product is a conversation-starter,46.81,3,25.64,10,99,8358 Moose Crossing,2023-03-12,2023-03-12
145,14.37,Product arrived earlier than expected,40.19,5,25.82,9,58,8 Longview Junction,2023-08-29,2023-08-29
146,11.47,The product is lightweight and easy to carry,51.01,3,39.54,16,100,49314 Del Mar Pass,2023-06-19,2023-06-19
147,23.08,Excellent customer service,46.72,1,23.64,11,70,1 Thompson Way,2023-08-01,2023-08-01
148,16.03,Highly recommend this product,48.37,4,32.34,9,42,73 Dovetail Pass,2023-10-27,2023-10-27
149,13.23,The product is stylish and trendy,39.78,2,26.55,10,78,6 Corben Point,2023-07-02,2023-07-02
150,18.22,The material is very soft and comfortable,54.61,4,36.39,11,88,7 Ramsey Avenue,2023-01-20,2023-01-20
151,21.63,Not worth the money,57.23,5,35.6,9,65,0655 Dorton Alley,2023-01-29,2023-01-29
152,23.44,Will definitely buy again,44.98,2,21.54,9,39,3 2nd Court,2023-07-23,2023-07-23
153,29.45,The product is a mood-booster,55.62,4,26.17,11,25,7 Everett Center,2023-07-03,2023-07-03
154,13.79,The product is a time-saver,35.5,5,21.71,13,12,55 Rusk Way,2023-01-31,2023-01-31
155,22.15,Excellent customer service,35.12,1,12.97,10,5,9248 Merrick Lane,2023-08-04,2023-08-04
156,22.99,The product is a crowd-pleaser,41.86,2,18.87,9,81,6 Judy Circle,2023-08-11,2023-08-11
157,19.92,This product is amazing!,55.9,1,35.98,9,33,07488 Coolidge Circle,2023-04-25,2023-04-25
158,10.23,Not what I expected,38.68,1,28.45,14,42,927 Village Pass,2023-12-06,2023-12-06
159,14.88,The product is a time-saver,39.65,2,24.77,8,87,3367 Westend Point,2023-05-17,2023-05-17
160,13.64,order a size up,34.31,4,20.67,14,57,862 Kenwood Road,2023-06-26,2023-06-26
161,25.93,The product is not durable,47.12,4,21.19,10,83,26 Maywood Court,2023-09-28,2023-09-28
162,23.34,order a size up,50.89,1,27.55,13,21,8100 Redwing Way,2023-10-13,2023-10-13
163,29.08,The product is a conversation-starter,34.61,2,5.53,12,22,575 Independence Lane,2023-03-08,2023-03-08
164,12.61,The product is a stress-reliever,34.08,1,21.47,14,15,5 Glacier Hill Crossing,2023-05-07,2023-05-07
165,14.43,Excellent customer service,44.44,1,30.01,8,7,43247 Westend Pass,2023-07-03,2023-07-03
166,20.07,Excellent customer service,44.49,1,24.42,9,26,42 Thierer Point,2023-08-21,2023-08-21
167,17.52,The product is lightweight and easy to carry,46.5,1,28.98,9,65,2022 Hoffman Pass,2023-12-23,2023-12-23
168,19.82,The product is a game-changer,40.28,5,20.46,11,16,61608 Michigan Center,2023-03-28,2023-03-28
169,22.72,The packaging was damaged,37.84,4,15.12,10,51,6047 Coleman Center,2023-10-26,2023-10-26
170,26.7,The price is too high for the quality,57.71,2,31.01,8,44,21 Comanche Point,2023-11-22,2023-11-22
171,11.27,The product is a conversation-starter,44.2,5,32.93,15,45,8639 Lindbergh Terrace,2023-07-28,2023-07-28
172,16.09,Great quality,59.48,4,43.39,10,90,3823 Gulseth Junction,2023-02-09,2023-02-09
173,14.33,I love this product so much,37.9,1,23.57,11,37,47 Hermina Way,2023-07-09,2023-07-09
174,29.77,The product is a game-changer,48.33,4,18.56,15,25,80932 Fordem Plaza,2023-08-05,2023-08-05
175,25.95,The product is easy to use,48.97,4,23.02,14,86,004 Lawn Trail,2023-05-03,2023-05-03
176,18.51,The material is very soft and comfortable,54.07,5,35.56,14,35,41803 Shoshone Center,2023-11-26,2023-11-26
177,10.53,Would recommend to friends and family,47.66,5,37.13,9,43,8080 Fieldstone Lane,2023-11-21,2023-11-21
178,13.23,The product is a great value for the price,39.65,1,26.42,16,62,979 Dwight Avenue,2023-03-10,2023-03-10
179,14.42,Would recommend to friends and family,35.1,1,20.68,9,31,72033 Cardinal Plaza,2023-05-29,2023-05-29
180,17.01,The product is difficult to assemble,30.4,1,13.39,15,100,71911 Thackeray Place,2023-07-08,2023-07-08
181,29.62,The size runs small,42.11,5,12.49,13,66,99 Bultman Center,2023-03-05,2023-03-05
182,18.54,The product is stylish and trendy,49.65,2,31.11,15,95,722 Arrowood Hill,2023-02-26,2023-02-26
183,13.26,The product is a crowd-pleaser,53.71,5,40.45,8,73,2 Marcy Trail,2023-10-21,2023-10-21
184,26.0,The product is stylish and trendy,45.87,1,19.87,14,49,00 Green Ridge Lane,2023-01-14,2023-01-14
185,26.3,The product is not durable,52.68,3,26.38,13,75,66478 Towne Park,2023-06-30,2023-06-30
186,11.25,The product is a game-changer,50.5,2,39.25,10,32,16779 Mosinee Drive,2023-11-06,2023-11-06
187,23.94,The product is difficult to assemble,45.11,1,21.17,12,92,44396 Main Court,2023-06-06,2023-06-06
188,19.1,The color is not as shown in the picture,39.43,1,20.33,13,17,49666 Clyde Gallagher Center,2023-01-29,2023-01-29
189,24.93,Great quality,42.28,2,17.35,13,79,64 Sage Junction,2023-02-08,2023-02-08
190,27.88,The size runs small,39.92,3,12.04,12,7,47910 Village Avenue,2023-05-15,2023-05-15
191,14.5,The product is stylish and trendy,49.16,1,34.66,16,39,37131 Village Parkway,2023-03-30,2023-03-30
192,23.48,The product exceeded my expectations,33.66,1,10.18,15,13,4 Elka Circle,2023-11-22,2023-11-22
193,14.95,Great quality,37.64,1,22.69,13,19,33720 West Place,2023-07-15,2023-07-15
194,12.65,I love this product so much,51.22,4,38.57,16,83,18 Florence Street,2023-06-27,2023-06-27
195,15.74,Great quality,30.54,1,14.8,13,20,71 Fair Oaks Point,2023-08-08,2023-08-08
196,22.61,The size runs small,43.56,4,20.95,11,97,63 Oxford Way,2023-04-09,2023-04-09
197,21.92,Highly recommend this product,45.92,4,24.0,9,26,58896 Grayhawk Plaza,2023-04-07,2023-04-07
198,27.36,The product is versatile and can be used in many ways,46.11,4,18.75,10,46,88 Moland Crossing,2023-04-08,2023-04-08
199,23.88,The product is a must-have for every home,55.61,1,31.73,8,38,08 Arkansas Parkway,2023-11-24,2023-11-24
200,12.04,Not what I expected,42.78,3,30.74,16,33,8036 Waxwing Lane,2023-02-16,2023-02-16
201,14.1,The product is easy to use,39.32,1,25.22,16,53,54917 Golf Junction,2023-01-19,2023-01-19
202,22.78,The product is a game-changer,47.73,4,24.95,10,75,82 Artisan Way,2023-05-22,2023-05-22
203,29.76,Would buy from this seller again,44.21,2,14.45,16,55,7 Delaware Pass,2023-12-21,2023-12-21
204,28.85,The product is a time-saver,44.66,4,15.81,14,65,699 Summer Ridge Alley,2023-11-26,2023-11-26
205,27.59,The product is a party-starter,38.93,2,11.34,15,74,7 Fieldstone Road,2023-08-02,2023-08-02
206,12.95,The product is a game-changer,47.7,2,34.75,12,10,05039 Acker Avenue,2023-03-28,2023-03-28
207,13.75,The product is a lifesaver,57.96,4,44.21,14,22,9 Mcbride Circle,2023-12-25,2023-12-25
208,25.44,The product is easy to use,31.1,5,5.66,11,94,81 Duke Terrace,2023-04-10,2023-04-10
209,12.73,The product is a crowd-pleaser,41.46,1,28.73,10,78,8953 Pierstorff Pass,2023-06-09,2023-06-09
210,19.19,The product exceeded my expectations,32.72,5,13.53,8,32,11 Maywood Center,2023-10-06,2023-10-06
211,29.75,The product is a show-stopper,36.24,3,6.49,8,24,0965 Bay Street,2023-11-09,2023-11-09
212,10.71,I love this product so much,56.19,3,45.48,10,28,923 Crest Line Park,2023-08-18,2023-08-18
213,13.86,The product is a crowd-pleaser,32.44,1,18.58,15,88,71 Melody Way,2023-10-06,2023-10-06
214,26.96,The product is a party-starter,57.81,2,30.85,11,86,41137 Melvin Lane,2023-04-30,2023-04-30
215,11.54,The product is a great value for the price,37.61,5,26.07,14,87,681 Sutteridge Street,2023-07-06,2023-07-06
216,24.71,The product is a show-stopper,33.51,3,8.8,9,27,437 Michigan Court,2023-06-05,2023-06-05
217,15.79,The product is a conversation-starter,33.97,4,18.18,16,41,73254 Brentwood Avenue,2023-06-04,2023-06-04
218,24.0,I love this product so much,58.24,4,34.24,16,88,0850 Summerview Pass,2023-03-10,2023-03-10
219,29.98,The product is a space-saver,34.54,1,4.56,12,33,02 Pine View Street,2023-04-18,2023-04-18
220,21.29,The product is a show-stopper,34.51,3,13.22,11,35,43633 Portage Parkway,2023-01-14,2023-01-14
221,10.87,The product is exactly as described,44.71,1,33.84,10,14,5 Elgar Drive,2023-01-25,2023-01-25
222,13.1,Would buy from this seller again,44.74,1,31.64,13,3,1613 Pawling Parkway,2023-03-10,2023-03-10
223,17.36,The product is a game-changer,42.07,4,24.71,16,83,945 Moose Court,2023-02-07,2023-02-07
224,21.03,The product is a show-stopper,43.5,2,22.47,10,80,0242 Dovetail Place,2023-02-11,2023-02-11
225,29.93,The product is a game-changer,50.16,5,20.23,9,39,5 Mosinee Road,2023-10-03,2023-10-03
226,10.35,Highly recommend this product,56.67,2,46.32,12,63,486 Heffernan Junction,2023-09-23,2023-09-23
227,17.13,Great quality,54.15,2,37.02,10,85,59 Utah Terrace,2023-07-29,2023-07-29
228,17.3,The product is a show-stopper,56.85,4,39.55,13,22,84393 Lien Road,2023-10-24,2023-10-24
229,21.99,The product is stylish and trendy,43.2,5,21.21,9,23,1 Marquette Street,2023-09-20,2023-09-20
230,20.59,The product is a must-have for every home,33.24,3,12.65,8,70,878 Manufacturers Point,2023-12-12,2023-12-12
231,13.31,The product is a time-saver,49.36,2,36.05,10,75,8 Longview Hill,2023-09-24,2023-09-24
232,15.68,The product is a game-changer,34.49,4,18.81,12,9,44712 Golf Course Plaza,2023-04-23,2023-04-23
233,26.69,The product is a money-saver,34.46,3,7.77,11,72,43 Clyde Gallagher Avenue,2023-11-18,2023-11-18
234,28.21,Will definitely buy again,54.52,2,26.31,14,8,06437 Sachs Pass,2023-11-09,2023-11-09
235,27.42,The product is a game-changer,45.57,2,18.15,13,66,67958 Huxley Court,2023-06-17,2023-06-17
236,22.74,The product is exactly as described,45.97,1,23.23,8,12,544 Florence Parkway,2023-07-01,2023-07-01
237,27.59,Excellent customer service,58.37,5,30.78,16,93,28 Quincy Trail,2023-05-06,2023-05-06
238,14.1,Would buy from this seller again,35.03,1,20.93,16,25,65 Sunbrook Crossing,2023-10-30,2023-10-30
239,24.32,Fast shipping,58.92,4,34.6,11,44,604 Laurel Terrace,2023-07-18,2023-07-18
240,20.63,Very disappointed with this purchase,53.16,2,32.53,13,86,941 Bunting Center,2023-10-30,2023-10-30
241,17.66,The product is a confidence-booster,57.49,1,39.83,11,96,1507 Garrison Court,2023-09-04,2023-09-04
242,19.3,The product is not durable,53.53,1,34.23,14,73,16728 Myrtle Park,2023-10-17,2023-10-17
243,17.2,The product is a show-stopper,46.68,2,29.48,14,55,12 7th Street,2023-01-02,2023-01-02
244,25.73,This product is amazing!,40.58,5,14.85,13,7,62290 Sachtjen Way,2023-01-07,2023-01-07
245,10.16,The product is a mood-booster,35.84,5,25.68,14,82,883 Bartelt Point,2023-01-08,2023-01-08
246,24.01,The product is a great gift idea,58.84,3,34.83,13,40,7 Forest Way,2023-12-02,2023-12-02
247,26.22,The product is exactly as described,41.34,5,15.12,16,41,67446 Crest Line Crossing,2023-10-20,2023-10-20
248,11.27,I love this product so much,35.64,5,24.37,12,78,14887 Del Sol Plaza,2023-07-02,2023-07-02
249,29.81,The color is not as shown in the picture,45.68,4,15.87,15,51,97667 Montana Alley,2023-06-30,2023-06-30
250,23.42,The product broke after a few uses,58.62,3,35.2,16,1,4 Truax Center,2023-05-20,2023-05-20
251,16.1,Not worth the money,38.8,3,22.7,8,37,5 Pine View Parkway,2023-05-21,2023-05-21
252,28.68,The product is a great value for the price,56.18,5,27.5,16,54,665 Bayside Center,2023-07-22,2023-07-22
253,18.64,The product is a great gift idea,49.69,1,31.05,11,85,783 Weeping Birch Court,2023-03-27,2023-03-27
254,24.36,The product is a conversation-starter,58.09,1,33.73,13,66,3 Hintze Place,2023-07-10,2023-07-10
255,18.66,Will definitely buy again,38.22,1,19.56,10,31,91535 Milwaukee Trail,2023-09-01,2023-09-01
256,26.58,order a size up,54.46,1,27.88,16,8,31755 Scoville Circle,2023-03-09,2023-03-09
257,22.96,The material is very soft and comfortable,51.89,5,28.93,11,11,22 Emmet Avenue,2023-10-19,2023-10-19
258,15.09,The product is a great gift idea,37.84,4,22.75,11,32,74 Dunning Hill,2023-08-17,2023-08-17
